x,y,sim
0,0,1.0
0,1,0.5
0,2,0.5
0,3,0.3333333333333333
0,4,0.3333333333333333
0,5,0.3333333333333333
0,6,0.3333333333333333
0,7,0.3333333333333333
0,8,0.3333333333333333
0,9,0.3333333333333333
0,10,0.3333333333333333
0,11,0.3333333333333333
0,12,0.3333333333333333
0,13,0.3333333333333333
0,14,0.25
0,15,0.25
0,16,0.25
0,17,0.25
0,18,0.25
0,19,0.25
0,20,0.25
0,21,0.25
0,22,0.25
0,23,0.25
0,24,0.25
0,25,0.25
0,26,0.25
0,27,0.25
0,28,0.25
0,29,0.25
0,30,0.25
0,31,0.25
0,32,0.25
0,33,0.25
0,34,0.25
0,35,0.25
0,36,0.25
0,37,0.25
0,38,0.25
0,39,0.25
0,40,0.25
0,41,0.25
0,42,0.25
0,43,0.25
0,44,0.25
0,45,0.25
0,46,0.25
0,47,0.25
0,48,0.25
0,49,0.25
0,50,0.25
0,51,0.25
0,52,0.25
0,53,0.25
0,54,0.25
0,55,0.25
0,56,0.2
0,57,0.2
0,58,0.2
0,59,0.2
0,60,0.2
0,61,0.2
0,62,0.2
0,63,0.2
0,64,0.25
0,65,0.2
0,66,0.2
0,67,0.2
0,68,0.2
0,69,0.2
0,70,0.2
0,71,0.2
0,72,0.2
0,73,0.2
0,74,0.2
0,75,0.2
0,76,0.2
0,77,0.2
0,78,0.2
0,79,0.2
0,80,0.2
0,81,0.2
0,82,0.2
0,83,0.2
0,84,0.2
0,85,0.2
0,86,0.2
0,87,0.2
0,88,0.2
0,89,0.2
0,90,0.25
0,91,0.2
0,92,0.2
0,93,0.2
0,94,0.2
0,95,0.2
0,96,0.2
0,97,0.2
0,98,0.2
0,99,0.2
0,100,0.2
0,101,0.2
0,102,0.2
0,103,0.2
0,104,0.25
0,105,0.16666666666666666
0,106,0.16666666666666666
0,107,0.16666666666666666
0,108,0.16666666666666666
0,109,0.16666666666666666
0,110,0.16666666666666666
0,111,0.16666666666666666
0,112,0.16666666666666666
0,113,0.16666666666666666
0,114,0.16666666666666666
0,115,0.16666666666666666
0,116,0.16666666666666666
0,117,0.16666666666666666
0,118,0.16666666666666666
0,119,0.16666666666666666
0,120,0.16666666666666666
0,121,0.16666666666666666
0,122,0.16666666666666666
0,123,0.16666666666666666
0,124,0.16666666666666666
0,125,0.16666666666666666
0,126,0.16666666666666666
0,127,0.16666666666666666
0,128,0.16666666666666666
0,129,0.16666666666666666
0,130,0.16666666666666666
0,131,0.16666666666666666
0,132,0.16666666666666666
0,133,0.16666666666666666
0,134,0.16666666666666666
0,135,0.2
0,136,0.16666666666666666
0,137,0.16666666666666666
0,138,0.16666666666666666
0,139,0.16666666666666666
0,140,0.16666666666666666
0,141,0.16666666666666666
0,142,0.16666666666666666
0,143,0.16666666666666666
0,144,0.16666666666666666
0,145,0.16666666666666666
0,146,0.2
0,147,0.2
0,148,0.2
0,149,0.16666666666666666
0,150,0.16666666666666666
0,151,0.16666666666666666
0,152,0.16666666666666666
0,153,0.16666666666666666
0,154,0.16666666666666666
0,155,0.16666666666666666
0,156,0.16666666666666666
0,157,0.16666666666666666
0,158,0.16666666666666666
0,159,0.2
0,160,0.2
0,161,0.2
0,162,0.2
0,163,0.2
0,164,0.2
0,165,0.2
0,166,0.2
0,167,0.2
0,168,0.2
0,169,0.2
0,170,0.14285714285714285
0,171,0.14285714285714285
0,172,0.14285714285714285
0,173,0.14285714285714285
0,174,0.14285714285714285
0,175,0.14285714285714285
0,176,0.14285714285714285
0,177,0.14285714285714285
0,178,0.14285714285714285
0,179,0.14285714285714285
0,180,0.14285714285714285
0,181,0.14285714285714285
0,182,0.14285714285714285
0,183,0.14285714285714285
0,184,0.14285714285714285
0,185,0.14285714285714285
0,186,0.14285714285714285
0,187,0.14285714285714285
0,188,0.14285714285714285
0,189,0.14285714285714285
0,190,0.14285714285714285
0,191,0.14285714285714285
0,192,0.14285714285714285
0,193,0.14285714285714285
0,194,0.14285714285714285
0,195,0.16666666666666666
0,196,0.16666666666666666
0,197,0.16666666666666666
0,198,0.16666666666666666
0,199,0.125
0,200,0.125
0,201,0.125
0,202,0.125
0,203,0.125
0,204,0.125
0,205,0.125
0,206,0.125
0,207,0.125
0,208,0.125
0,209,0.125
0,210,0.125
0,211,0.125
0,212,0.125
0,213,0.125
0,214,0.1111111111111111
0,215,0.1111111111111111
1,0,0.5
1,1,1.0
1,2,0.3333333333333333
1,3,0.5
1,4,0.5
1,5,0.5
1,6,0.5
1,7,0.5
1,8,0.25
1,9,0.25
1,10,0.25
1,11,0.25
1,12,0.25
1,13,0.25
1,14,0.3333333333333333
1,15,0.3333333333333333
1,16,0.3333333333333333
1,17,0.3333333333333333
1,18,0.3333333333333333
1,19,0.3333333333333333
1,20,0.3333333333333333
1,21,0.3333333333333333
1,22,0.3333333333333333
1,23,0.3333333333333333
1,24,0.3333333333333333
1,25,0.3333333333333333
1,26,0.3333333333333333
1,27,0.2
1,28,0.2
1,29,0.2
1,30,0.2
1,31,0.2
1,32,0.2
1,33,0.2
1,34,0.2
1,35,0.2
1,36,0.2
1,37,0.2
1,38,0.2
1,39,0.2
1,40,0.2
1,41,0.25
1,42,0.2
1,43,0.2
1,44,0.2
1,45,0.2
1,46,0.2
1,47,0.2
1,48,0.2
1,49,0.2
1,50,0.2
1,51,0.2
1,52,0.2
1,53,0.2
1,54,0.2
1,55,0.2
1,56,0.25
1,57,0.25
1,58,0.25
1,59,0.25
1,60,0.25
1,61,0.25
1,62,0.25
1,63,0.25
1,64,0.3333333333333333
1,65,0.16666666666666666
1,66,0.16666666666666666
1,67,0.16666666666666666
1,68,0.16666666666666666
1,69,0.16666666666666666
1,70,0.16666666666666666
1,71,0.16666666666666666
1,72,0.16666666666666666
1,73,0.16666666666666666
1,74,0.16666666666666666
1,75,0.16666666666666666
1,76,0.16666666666666666
1,77,0.16666666666666666
1,78,0.16666666666666666
1,79,0.16666666666666666
1,80,0.16666666666666666
1,81,0.16666666666666666
1,82,0.16666666666666666
1,83,0.16666666666666666
1,84,0.16666666666666666
1,85,0.16666666666666666
1,86,0.16666666666666666
1,87,0.16666666666666666
1,88,0.16666666666666666
1,89,0.16666666666666666
1,90,0.3333333333333333
1,91,0.2
1,92,0.16666666666666666
1,93,0.16666666666666666
1,94,0.16666666666666666
1,95,0.16666666666666666
1,96,0.16666666666666666
1,97,0.16666666666666666
1,98,0.16666666666666666
1,99,0.16666666666666666
1,100,0.16666666666666666
1,101,0.16666666666666666
1,102,0.16666666666666666
1,103,0.16666666666666666
1,104,0.3333333333333333
1,105,0.2
1,106,0.2
1,107,0.2
1,108,0.2
1,109,0.2
1,110,0.2
1,111,0.2
1,112,0.2
1,113,0.2
1,114,0.2
1,115,0.2
1,116,0.2
1,117,0.2
1,118,0.2
1,119,0.2
