item,idx,hypernym_pred,swapped_pred,hypernym_yes,swapped_yes
1,1,Yes,Yes,0.6333590745925903,0.5631975531578064
2,5,Yes,Yes,0.6286109685897827,0.5517234802246094
3,9,Yes,Yes,0.6141257286071777,0.6728977560997009
4,13,Yes,Yes,0.6377566456794739,0.693215012550354
5,17,Yes,Yes,0.5911376476287842,0.5929060578346252
6,21,Yes,Yes,0.6092173457145691,0.55406254529953
7,25,Yes,Yes,0.5542128682136536,0.5352228879928589
8,29,Yes,Yes,0.6429443955421448,0.6751449704170227
9,33,Yes,Yes,0.679707407951355,0.655866801738739
10,37,Yes,Yes,0.7086440324783325,0.6628872752189636
11,41,Yes,Yes,0.7095127105712891,0.5681692957878113
12,45,Yes,Yes,0.6137129068374634,0.5987374782562256
13,49,Yes,Yes,0.6399069428443909,0.5649381875991821
14,53,Yes,Yes,0.6126238703727722,0.5529049634933472
15,57,Yes,Yes,0.6534382104873657,0.6530951261520386
16,61,Yes,Yes,0.6646919250488281,0.6616191864013672
17,65,Yes,Yes,0.6799594163894653,0.6453899145126343
18,69,Yes,Yes,0.5665392279624939,0.6095559597015381
19,73,Yes,No,0.5116317868232727,0.49642980098724365
20,77,Yes,Yes,0.5837900638580322,0.5138269662857056
21,81,Yes,Yes,0.6612933874130249,0.5897207260131836
22,85,Yes,Yes,0.6632488965988159,0.585409939289093
23,89,Yes,Yes,0.585221529006958,0.6010528802871704
24,93,Yes,Yes,0.6903113722801208,0.6142904162406921
25,97,Yes,Yes,0.703015923500061,0.6771148443222046
26,101,Yes,Yes,0.6407350897789001,0.6583589911460876
27,105,Yes,Yes,0.6487703323364258,0.5957990884780884
28,109,Yes,Yes,0.6879302263259888,0.6916965842247009
29,113,Yes,Yes,0.5952800512313843,0.5606485605239868
30,117,Yes,Yes,0.6461857557296753,0.6209876537322998
31,121,Yes,Yes,0.6617791652679443,0.644273579120636
32,125,Yes,Yes,0.6348525285720825,0.5819302797317505
33,129,Yes,Yes,0.6527861952781677,0.5971304178237915
34,133,Yes,Yes,0.6013465523719788,0.6084370017051697
35,137,Yes,Yes,0.6726153492927551,0.6439464092254639
36,141,Yes,Yes,0.6177881956100464,0.6279980540275574
37,145,Yes,Yes,0.6318649053573608,0.6250879764556885
38,149,Yes,Yes,0.6119348406791687,0.6075502038002014
39,153,Yes,Yes,0.7457911968231201,0.6724737286567688
40,157,Yes,Yes,0.6283965706825256,0.6429993510246277
41,161,Yes,Yes,0.6731231212615967,0.6129193305969238
42,165,Yes,Yes,0.7067239284515381,0.6339157223701477
43,169,Yes,Yes,0.670693039894104,0.6318532228469849
44,173,Yes,Yes,0.6339141130447388,0.5499619245529175
45,177,Yes,Yes,0.6376218199729919,0.5786498785018921
46,181,Yes,Yes,0.6855403184890747,0.6667889356613159
47,185,Yes,No,0.540375828742981,0.4661474823951721
48,189,Yes,Yes,0.6102116107940674,0.6181707382202148
49,193,Yes,Yes,0.6013224124908447,0.6733461022377014
50,197,Yes,Yes,0.6460365653038025,0.5769617557525635
51,201,Yes,Yes,0.6460663080215454,0.5777636170387268
52,205,Yes,Yes,0.576686441898346,0.6365522742271423
53,209,Yes,Yes,0.6312389969825745,0.595337450504303
