idx,hypernym_score,negative_score
1,-4.525135040283203,-5.443483829498291
2,-4.525135040283203,-6.385368347167969
3,-4.525135040283203,-5.939108848571777
4,-4.525135040283203,-5.540624618530273
5,-3.9135847091674805,-5.435571670532227
6,-3.9135847091674805,-5.619664192199707
7,-3.9135847091674805,-5.604970932006836
8,-3.9135847091674805,-4.565329074859619
9,-3.9235353469848633,-5.138082027435303
10,-3.9235353469848633,-4.9642534255981445
11,-3.9235353469848633,-4.924627304077148
12,-3.9235353469848633,-4.147907257080078
13,-4.971407413482666,-4.989931106567383
14,-4.971407413482666,-5.095860481262207
15,-4.971407413482666,-6.908761978149414
16,-4.971407413482666,-5.412743091583252
17,-4.313020706176758,-4.769192695617676
18,-4.313020706176758,-5.2873358726501465
19,-4.313020706176758,-5.088597774505615
20,-4.313020706176758,-4.995306015014648
21,-3.637524127960205,-4.992150783538818
22,-3.637524127960205,-5.560671806335449
23,-3.637524127960205,-5.405918598175049
24,-3.637524127960205,-4.913634300231934
25,-3.914452314376831,-4.753730773925781
26,-3.914452314376831,-5.002551555633545
27,-3.914452314376831,-5.280181884765625
28,-3.914452314376831,-5.177731037139893
29,-4.617495536804199,-5.076341152191162
30,-4.617495536804199,-5.312750816345215
31,-4.617495536804199,-4.999965190887451
32,-4.617495536804199,-5.521363258361816
33,-3.6504199504852295,-5.219388484954834
34,-3.6504199504852295,-4.825710296630859
35,-3.6504199504852295,-4.666901111602783
36,-3.6504199504852295,-4.64433479309082
37,-3.312868118286133,-4.78567361831665
38,-3.312868118286133,-4.666901111602783
39,-3.312868118286133,-4.62307596206665
40,-3.312868118286133,-4.539132595062256
41,-4.534929275512695,-5.411527156829834
42,-4.534929275512695,-4.726510524749756
43,-4.534929275512695,-5.531536102294922
44,-4.534929275512695,-5.371029376983643
45,-4.664834976196289,-5.819867134094238
46,-4.664834976196289,-5.388097763061523
47,-4.664834976196289,-5.779447078704834
48,-4.664834976196289,-5.361602306365967
49,-4.121654510498047,-5.176784038543701
50,-4.121654510498047,-5.9457621574401855
51,-4.121654510498047,-5.606954097747803
52,-4.121654510498047,-5.755732536315918
53,-4.692601680755615,-5.831082344055176
54,-4.692601680755615,-6.339753150939941
55,-4.692601680755615,-6.835689067840576
56,-4.692601680755615,-5.063056945800781
57,-5.147397041320801,-5.277643203735352
58,-5.147397041320801,-5.792450428009033
59,-5.147397041320801,-4.684118747711182
60,-5.147397041320801,-5.587259769439697
61,-4.613090515136719,-6.004984378814697
62,-4.613090515136719,-6.0374016761779785
63,-4.613090515136719,-6.105042457580566
64,-4.613090515136719,-5.623010158538818
65,-3.322906017303467,-4.974452018737793
66,-3.322906017303467,-4.741052627563477
67,-3.322906017303467,-4.569968223571777
68,-3.322906017303467,-4.117410659790039
69,-4.8364667892456055,-6.43983793258667
70,-4.8364667892456055,-5.332796096801758
71,-4.8364667892456055,-5.534850597381592
72,-4.8364667892456055,-6.0031418800354
73,-4.744641304016113,-5.1911301612854
74,-4.744641304016113,-5.1208720207214355
75,-4.744641304016113,-4.900942325592041
76,-4.744641304016113,-5.1353888511657715
77,-3.3738491535186768,-4.857736110687256
78,-3.3738491535186768,-4.865113735198975
79,-3.3738491535186768,-5.227155685424805
80,-3.3738491535186768,-4.54920768737793
81,-4.991755962371826,-5.414590835571289
82,-4.991755962371826,-5.8399338722229
83,-4.991755962371826,-6.778918266296387
84,-4.991755962371826,-5.432368278503418
85,-4.208185195922852,-6.508074760437012
86,-4.208185195922852,-6.578185081481934
87,-4.208185195922852,-5.5712103843688965
88,-4.208185195922852,-5.447675704956055
89,-3.874265193939209,-5.0832319259643555
90,-3.874265193939209,-4.986059188842773
91,-3.874265193939209,-4.784388542175293
92,-3.874265193939209,-5.103322505950928
93,-4.7149338722229,-6.326171875
94,-4.7149338722229,-6.099120140075684
95,-4.7149338722229,-6.133286952972412
96,-4.7149338722229,-5.713983535766602
97,-4.3704833984375,-5.126692771911621
98,-4.3704833984375,-4.923306941986084
99,-4.3704833984375,-4.700263500213623
100,-4.3704833984375,-4.576475620269775
101,-4.225341796875,-4.56577205657959
102,-4.225341796875,-4.771822929382324
103,-4.225341796875,-4.765105724334717
104,-4.225341796875,-4.605385780334473
105,-4.003604888916016,-5.232253074645996
106,-4.003604888916016,-4.831123352050781
107,-4.003604888916016,-5.126692771911621
108,-4.003604888916016,-5.089545249938965
109,-3.724313974380493,-5.153220176696777
110,-3.724313974380493,-4.707908630371094
111,-3.724313974380493,-4.885223388671875
112,-3.724313974380493,-4.250080108642578
113,-4.150958061218262,-5.894952774047852
114,-4.150958061218262,-5.377974033355713
115,-4.150958061218262,-5.209643363952637
116,-4.150958061218262,-5.990006923675537
117,-3.908433675765991,-5.826638221740723
118,-3.908433675765991,-5.4407267570495605
119,-3.908433675765991,-5.712790489196777
120,-3.908433675765991,-5.45551872253418
121,-4.851614952087402,-5.261977672576904
122,-4.851614952087402,-5.467772960662842
123,-4.851614952087402,-5.4407267570495605
124,-4.851614952087402,-5.4208292961120605
125,-4.355799198150635,-4.969812870025635
126,-4.355799198150635,-5.314849853515625
127,-4.355799198150635,-5.247828006744385
128,-4.355799198150635,-5.4083991050720215
129,-3.679351806640625,-4.635136127471924
130,-3.679351806640625,-5.054628372192383
131,-3.679351806640625,-4.687382698059082
132,-3.679351806640625,-5.471161365509033
133,-5.016141891479492,-4.863886833190918
134,-5.016141891479492,-5.88487434387207
135,-5.016141891479492,-6.133847236633301
136,-5.016141891479492,-4.479091167449951
137,-5.205300331115723,-6.145758628845215
138,-5.205300331115723,-5.389583587646484
139,-5.205300331115723,-6.133847236633301
140,-5.205300331115723,-4.863886833190918
141,-3.6524219512939453,-5.541374206542969
142,-3.6524219512939453,-5.412626266479492
143,-3.6524219512939453,-6.095285892486572
144,-3.6524219512939453,-5.391618728637695
145,-4.3204874992370605,-5.608567714691162
146,-4.3204874992370605,-4.936391353607178
147,-4.3204874992370605,-5.565207481384277
148,-4.3204874992370605,-5.198867321014404
149,-4.683019161224365,-5.869227886199951
150,-4.683019161224365,-4.936391353607178
151,-4.683019161224365,-5.122976303100586
152,-4.683019161224365,-5.532345771789551
153,-4.0487189292907715,-4.816954612731934
154,-4.0487189292907715,-4.4833574295043945
155,-4.0487189292907715,-4.37033748626709
156,-4.0487189292907715,-4.4283905029296875
157,-4.6939287185668945,-4.812692165374756
158,-4.6939287185668945,-5.1195387840271
159,-4.6939287185668945,-5.406018257141113
160,-4.6939287185668945,-5.819181442260742
161,-4.042102813720703,-5.178565979003906
162,-4.042102813720703,-5.0775299072265625
163,-4.042102813720703,-5.140313148498535
164,-4.042102813720703,-5.406018257141113
165,-5.3306121826171875,-4.704545021057129
166,-5.3306121826171875,-5.281184196472168
167,-5.3306121826171875,-5.473964691162109
168,-5.3306121826171875,-4.751482009887695
169,-4.066709041595459,-5.4001312255859375
170,-4.066709041595459,-5.473964691162109
171,-4.066709041595459,-4.085800647735596
172,-4.066709041595459,-5.548293113708496
173,-4.685328483581543,-5.307765483856201
174,-4.685328483581543,-5.598848342895508
175,-4.685328483581543,-5.304839611053467
176,-4.685328483581543,-4.582188606262207
177,-5.102536201477051,-5.983633995056152
178,-5.102536201477051,-5.457576274871826
179,-5.102536201477051,-5.6505327224731445
180,-5.102536201477051,-5.637495994567871
181,-4.460566520690918,-5.351916313171387
182,-4.460566520690918,-4.9510650634765625
183,-4.460566520690918,-4.930468559265137
184,-4.460566520690918,-5.511530876159668
185,-4.468942165374756,-5.326788902282715
186,-4.468942165374756,-4.85626220703125
187,-4.468942165374756,-5.131584167480469
188,-4.468942165374756,-5.707751750946045
189,-4.819894790649414,-4.869865894317627
190,-4.819894790649414,-3.8680543899536133
191,-4.819894790649414,-5.917282581329346
