word,count
window,41834
tree,34253
man,31370
shirt,25344
wall,22054
building,20702
person,20218
ground,18275
sky,17980
leg,17801
leaf,17066
sign,16933
hand,16710
head,16517
pole,14887
grass,14194
hair,13953
car,12942
ear,12150
eye,11586
woman,11576
cloud,10811
table,10797
shoe,10725
wheel,9869
door,9668
pant,9494
letter,9448
people,9341
flower,9002
water,8765
chair,8213
glass,8188
fence,7972
arm,7927
number,7648
nose,7625
floor,7359
rock,7290
jacket,7208
hat,7136
tail,6542
plate,6513
foot,6378
face,6370
bush,5864
short,5680
road,5557
bag,5548
sidewalk,5372
helmet,5007
tire,4977
snow,4815
boy,4810
logo,4587
roof,4515
umbrella,4513
bottle,4385
boat,4370
plant,4299
street,4259
branch,4219
post,4144
jean,4057
mouth,4022
cap,3951
bird,3931
banana,3924
girl,3881
box,3847
mirror,3758
bench,3739
field,3697
picture,3693
pillow,3663
book,3646
glove,3604
shelf,3552
dirt,3434
clock,3428
bowl,3392
neck,3324
trunk,3313
horse,3308
wing,3296
bus,3274
food,3271
train,3244
paper,3186
kite,3134
sock,3116
airplane,3105
elephant,3094
house,3039
lamp,3035
coat,3008
cabinet,2965
cup,2936
cow,2833
dog,2788
finger,2787
wire,2776
giraffe,2774
word,2766
flag,2758
mountain,2742
seat,2702
counter,2662
sheep,2653
street light,2630
ski,2585
zebra,2504
hill,2489
truck,2481
bike,2442
child,2439
ball,2418
racket,2415
skateboard,2367
ceiling,2362
player,2330
motorcycle,2270
surfboard,2232
towel,2220
container,2193
sand,2183
paw,2165
frame,2149
curtain,2144
windshield,2136
horn,2125
cat,2072
boot,2062
bed,2057
animal,2049
sink,2016
donut,2014
tie,1924
traffic light,1896
pizza,1895
stone,1886
sticker,1850
orange,1801
backpack,1798
apple,1775
basket,1771
collar,1766
drawer,1765
lid,1714
vase,1708
cord,1687
pot,1678
phone,1666
fork,1637
uniform,1632
vehicle,1631
laptop,1629
fruit,1627
lady,1624
tomato,1620
bear,1619
mane,1611
license plate,1609
cheese,1607
tag,1606
fur,1605
carrot,1599
beach,1577
tower,1575
vegetable,1569
wrist,1567
desk,1556
cone,1549
knife,1543
napkin,1542
toilet,1541
dress,1531
blanket,1512
faucet,1504
screen,1503
keyboard,1503
cell phone,1501
watch,1497
arrow,1491
bicycle,1481
sneaker,1470
broccoli,1445
guy,1445
ocean,1420
t-shirt,1409
pipe,1406
