word,count
man,253167
fence,247465
picture,179139
car,170350
woman,158645
chair,140260
person,138983
table,124295
bag,110433
window,100378
plate,95499
glass,83418
bus,82456
helmet,82321
shirt,81279
grass,80266
boy,66956
vehicle,66631
tree,66438
animal,65825
door,64219
sky,63891
bottle,62445
train,58905
umbrella,55404
lamp,54639
dog,54239
people,54115
clock,53030
truck,52957
bench,52005
girl,51391
cup,49655
mirror,49602
pillow,47190
cat,44605
food,44329
cabinet,41990
bowl,40386
wall,40042
horse,40041
device,39683
shelf,39039
hair,38845
box,38813
hat,38222
bed,37730
sign,35396
racket,35372
building,33724
computer,33472
giraffe,33390
skateboard,32731
boat,32148
orange,30982
bird,29976
elephant,29880
ball,29727
water,29428
phone,29057
flag,28207
container,27852
bear,27720
men,27707
book,27669
ground,27511
fork,27452
pizza,27005
bike,26793
laptop,26207
jacket,25885
backpack,25576
towel,24962
toilet,24935
knife,24879
floor,24700
airplane,24349
surfboard,23855
shoe,23700
leaf,23573
curtain,23011
kite,22728
keyboard,22697
desk,22667
zebra,22408
pot,22314
cow,22273
motorcycle,21882
napkin,21432
pole,20920
paper,20908
spoon,20862
player,20823
ski,20700
lady,20690
child,20584
couch,20153
letter,20104
banana,20086
pant,20075
vegetable,19860
house,19712
blanket,19652
coat,19466
bicycle,18834
cloud,18569
mouse,18326
frisbee,17979
street,17905
hand,17862
cake,17767
short,17322
bread,17189
television,17165
head,17120
refrigerator,16894
tray,16738
van,16565
coffee,16183
fruit,16127
drawer,16041
appliance,16030
field,15513
guy,15343
flower,15241
sand,14955
jean,14898
road,14845
glove,14703
screen,14625
snow,14595
cap,14360
sheep,14078
camera,13549
carrot,13367
purse,13193
tomato,13089
fire,12894
eye,12861
rope,12793
tower,12465
vase,12406
stove,12302
ear,12232
monitor,12097
utensil,11973
speaker,11894
meat,11877
sidewalk,11819
apple,11794
faucet,11736
tail,11683
wine,11546
can,11514
cone,11495
number,11419
sandwich,11378
oven,11372
pepper,11196
rug,11140
bat,11020
wheel,10887
broccoli,10779
catcher,10548
cheese,10491
sink,10264
suitcase,10215
microwave,10182
rock,10057
counter,9935
beach,9736
onion,9727
nose,9666
snowboard,9654
tie,9227
candle,9010
mug,9003
cart,8957
sofa,8888
tent,8886
dispenser,8875
donut,8866
trash,8758
soap,8464
tablecloth,8235
pan,8212
baby,8194
toy,8182
logo,7984
controller,7973
arm,7928
boot,7588
tire,7412
batter,7313
scarf,7307
baseball,7299
drink,7253
bush,7174
umpire,7025
post,6809
nightstand,6802
statue,6793
painting,6659
dirt,6656
face,6654
lettuce,6509
bucket,6362
word,6357
collar,6199
dress,6169
sock,6151
roof,6148
basket,6031
jar,5979
wire,5966
chimney,5893
blind,5816
taxi,5793
sheet,5706
ladder,5700
scooter,5616
potato,5601
plant,5596
bridge,5462
wetsuit,5447
vas,5381
dishwasher,5334
spectator,5269
sweater,5193
vest,5176
toothbrush,5157
seat,4979
skier,4965
suit,4949
dessert,4943
bun,4916
branch,4866
bathroom,4757
planter,4748
bookshelf,4745
tissue,4647
ceiling,4624
kitchen,4592
mountain,4568
aircraft,4505
magazine,4462
dish,4428
crate,4378
kettle,4358
rice,4341
egg,4325
skirt,4322
beer,4281
mat,4277
trunk,4249
lid,4184
cage,4139
belt,4138
room,4132
uniform,4097
mouth,4026
watch,4006
frame,3947
surfer,3925
bookcase,3918
goggles,3874
ice,3742
hill,3699
salad,3670
pipe,3670
stone,3662
dresser,3659
goat,3628
sneaker,3492
sauce,3463
brush,3408
carriage,3383
mud,3317
arrow,3299
trailer,3299
strawberry,3297
duck,3273
ocean,3148
cupboard,3145
mane,3139
mushroom,3136
brick,3127
lemon,3112
fur,3084
saucer,3081
carpet,3076
air,2974
skateboarder,2973
driver,2970
cucumber,2963
gate,2959
packet,2929
jersey,2878
briefcase,2876
passenger,2818
sticker,2775
hose,2773
necklace,2746
sandal,2742
park,2737
figurine,2724
horn,2702
cord,2685
tile,2653
t-shirt,2643
crown,2640
scissors,2636
blender,2629
stroller,2597
printer,2579
lamb,2552
mattress,2493
paddle,2492
pen,2488
lock,2471
pastry,2459
smoke,2433
tractor,2393
toaster,2389
chain,2370
bell,2356
headphone,2342
tool,2332
outfit,2314
spatula,2313
fry,2302
tea,2270
pepperoni,2259
soup,2254
olive,2250
salt,2237
notebook,2227
star,2223
bathtub,2217
radiator,2204
clothes,2185
doll,2170
ring,2169
machine,2168
countertop,2156
ottoman,2154
comforter,2138
tag,2111
dumpster,2108
pedestrian,2075
bracelet,2045
wallet,2040
game,2032
cigarette,1998
chandelier,1996
wrist,1978
cream,1973
gift,1963
paint,1957
luggage,1949
stick,1944
sculpture,1938
platform,1924
