question_id,substitution_hop,subs_type,concept,input,type,correct,x,y
15387034,1,hypernym,skateboard,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Description: There are 14 objects in the scene, including a picture, a concrete floor, a ceiling, a wall, a performing trick man, a white skateboard, black pants, a graffiti, a red short sleeved shirt, windows, a pole, a hand, doors, and white wheels. The floor is to the right of the windows. The wall is to the left of the doors. The man is holding the skateboard. The man is to the right of the wheels. The man is to the left of the pole. The man is to the left of the doors. The skateboard is to the left of the pole. The pants are to the left of the pole. The pants are to the right of the wheels. The graffiti is painted on the wall. The graffiti is to the right of the windows. The windows are to the left of the floor. The windows are to the left of the graffiti. The pole is to the right of the hand. The pole is to the right of the pants. The pole is to the right of the man. The pole is to the right of the skateboard. The pole is to the left of the doors. The hand is grabbing the skateboard. The hand is to the left of the pole. The doors are to the right of the pole. The doors are to the right of the wall. The doors are to the right of the man. The wheels are to the left of the pants. The wheels are to the left of the man. Question: In the scene, are there black boards? Answer:<|im_end|>
<|im_start|>assistant
",vision_text,True,1.0554562,-11.2494335
15387036,1,hypernym,skateboard,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Description: There are 14 objects in the scene, including a picture, a concrete floor, a ceiling, a wall, a performing trick man, a white skateboard, black pants, a graffiti, a red short sleeved shirt, windows, a pole, a hand, doors, and white wheels. The floor is to the right of the windows. The wall is to the left of the doors. The man is holding the skateboard. The man is to the right of the wheels. The man is to the left of the pole. The man is to the left of the doors. The skateboard is to the left of the pole. The pants are to the left of the pole. The pants are to the right of the wheels. The graffiti is painted on the wall. The graffiti is to the right of the windows. The windows are to the left of the floor. The windows are to the left of the graffiti. The pole is to the right of the hand. The pole is to the right of the pants. The pole is to the right of the man. The pole is to the right of the skateboard. The pole is to the left of the doors. The hand is grabbing the skateboard. The hand is to the left of the pole. The doors are to the right of the pole. The doors are to the right of the wall. The doors are to the right of the man. The wheels are to the left of the pants. The wheels are to the left of the man. Question: In the scene, do you see a board that is not white? Answer:<|im_end|>
<|im_start|>assistant
",vision_text,True,-2.6556168,-4.8732333
5802794,1,hypernym,skateboard,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Description: There are 11 objects in the scene, including a tree, a wall, a boy, leaves, a graffiti, a trunk, a brown skateboard, a dark brown curly hair, a hand, a silver necklace, and a branch. The tree is to the left of the wall. The tree is to the left of the skateboard. The tree is to the left of the graffiti. The wall is to the right of the hand. The wall is to the right of the leaves. The wall is to the right of the boy. The wall is to the right of the tree. The boy is to the left of the wall. The leaves are to the left of the graffiti. The leaves are on the tree. The leaves are to the left of the wall. The graffiti is on the wall. The graffiti is to the right of the leaves. The graffiti is to the right of the tree. The skateboard is to the right of the tree. The hair is to the left of the necklace. The hand is to the left of the wall. The necklace is to the right of the hair. Question: In the scene, is there any green board? Answer:<|im_end|>
<|im_start|>assistant
",vision_text,True,7.744133,-5.413788
5802796,1,hypernym,skateboard,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
