item,layer,sim
1,0,0.04377231001853943
2,0,0.08670622855424881
3,0,0.027692770585417747
4,0,0.05881606787443161
5,0,0.084714375436306
6,0,0.0848679170012474
7,0,0.08292423188686371
8,0,0.034069642424583435
9,0,0.055442437529563904
10,0,0.05382548272609711
11,0,0.05994034558534622
12,0,0.052325744181871414
13,0,0.06350015103816986
14,0,0.046126265078783035
15,0,0.023870429024100304
16,0,0.1074589192867279
17,0,0.05778680369257927
18,0,0.1191057413816452
19,0,0.024337520822882652
20,0,0.054611656814813614
21,0,0.0634232833981514
22,0,0.08461219072341919
23,0,0.06975223869085312
24,0,0.0858825296163559
25,0,0.03266839310526848
26,0,0.05864890292286873
27,0,0.035510748624801636
28,0,0.06687142699956894
29,0,0.17946144938468933
30,0,0.13696159422397614
31,0,0.11386537551879883
32,0,0.12816062569618225
33,0,0.08019212633371353
34,0,0.07459504157304764
35,0,0.030266154557466507
36,0,0.07480866461992264
37,0,0.03768671303987503
38,0,0.06874845176935196
39,0,0.07424421608448029
40,0,0.02237672731280327
41,0,0.05304652079939842
42,0,0.024608034640550613
43,0,0.05059856176376343
44,0,0.029851991683244705
45,0,0.039981260895729065
46,0,0.07171246409416199
47,0,0.10757242143154144
48,0,0.04405861720442772
49,0,0.04345894977450371
50,0,0.09846480190753937
51,0,0.12113288789987564
52,0,0.025063730776309967
53,0,0.445051372051239
54,0,0.018000703305006027
55,0,0.03507198765873909
56,0,0.4694036543369293
57,0,0.07365266978740692
58,0,0.06737938523292542
59,0,0.014065745286643505
60,0,0.0694824680685997
61,0,0.05777634307742119
62,0,0.13428065180778503
63,0,0.11737588047981262
64,0,0.050776999443769455
65,0,0.019399380311369896
66,0,0.11271536350250244
67,0,0.08308630436658859
68,0,0.020748339593410492
69,0,0.11244453489780426
70,0,0.02480689063668251
71,0,0.057703569531440735
72,0,0.04750663787126541
73,0,0.11767546832561493
74,0,0.06947050988674164
75,0,0.01809745654463768
76,0,0.04238583892583847
77,0,0.0162498876452446
78,0,0.03806966915726662
79,0,0.2260722815990448
80,0,0.12668853998184204
81,0,0.021553711965680122
82,0,0.010267697274684906
83,0,0.05817409232258797
84,0,0.0782097578048706
85,0,0.07013490051031113
86,0,0.09990313649177551
87,0,0.010573155246675014
88,0,0.11835354566574097
89,0,0.040467530488967896
90,0,0.07152268290519714
91,0,0.04751237481832504
92,0,0.07638552039861679
93,0,0.059050969779491425
94,0,0.027609288692474365
95,0,0.05848705396056175
96,0,0.04625837877392769
97,0,0.05304277688264847
98,0,0.047257378697395325
99,0,0.07453788071870804
100,0,0.022236259654164314
101,0,0.04771588370203972
102,0,0.034452617168426514
103,0,0.07202672958374023
104,0,0.05654048174619675
105,0,0.0589592419564724
106,0,0.11219829320907593
107,0,0.07211001962423325
108,0,0.09858130663633347
109,0,0.0516800582408905
110,0,0.13785216212272644
111,0,0.07441559433937073
112,0,0.08273760229349136
113,0,0.053720492869615555
114,0,0.05021677911281586
115,0,0.021617408841848373
116,0,0.015751715749502182
117,0,0.12376630306243896
118,0,0.011045083403587341
119,0,0.06014830619096756
120,0,0.054873041808605194
121,0,0.08320780098438263
122,0,0.037569355219602585
123,0,0.043009884655475616
124,0,0.07770863175392151
125,0,0.0455666221678257
126,0,0.12717078626155853
127,0,0.03187616541981697
128,0,0.015551825985312462
129,0,0.055319443345069885
130,0,0.05016089603304863
131,0,0.06894439458847046
132,0,0.04118680953979492
133,0,0.06713413447141647
134,0,0.07796857506036758
135,0,0.05402008444070816
136,0,0.06674433499574661
137,0,0.052243441343307495
138,0,0.04902563989162445
139,0,0.08916927874088287
140,0,0.12512069940567017
141,0,0.07267828285694122
142,0,0.018594106659293175
143,0,0.008072491735219955
144,0,0.030128130689263344
145,0,0.0728100836277008
146,0,0.04425693675875664
147,0,0.002037481404840946
148,0,0.050013452768325806
149,0,0.07309286296367645
150,0,0.14039036631584167
151,0,0.009544295258820057
152,0,0.43789923191070557
153,0,0.033620625734329224
154,0,0.05854759365320206
155,0,0.07443222403526306
156,0,0.06695087999105453
157,0,0.10663308203220367
158,0,0.050819672644138336
159,0,0.051655787974596024
160,0,0.006536617409437895
161,0,0.007404496893286705
162,0,0.06331498920917511
163,0,0.039899665862321854
164,0,0.029224161058664322
165,0,0.032476190477609634
166,0,0.07750450074672699
167,0,0.012049727141857147
168,0,0.09018723666667938
169,0,0.10894419252872467
170,0,0.07396247982978821
171,0,0.08761575073003769
172,0,0.027475912123918533
173,0,0.03989404812455177
174,0,0.024758752435445786
175,0,0.06216565892100334
176,0,0.08064587414264679
177,0,0.051546718925237656
178,0,0.039136167615652084
179,0,0.016292311251163483
180,0,0.10357421636581421
181,0,0.09007947146892548
182,0,0.02634044550359249
183,0,0.039202235639095306
184,0,0.1407996267080307
185,0,0.09094854444265366
186,0,0.09385664016008377
187,0,0.11610273271799088
188,0,0.08865947276353836
189,0,0.019180208444595337
190,0,0.06279854476451874
191,0,0.05300511419773102
192,0,0.06624136120080948
193,0,0.07870182394981384
194,0,0.08106990903615952
195,0,0.05408019199967384
196,0,0.0528668537735939
197,0,0.055047545582056046
198,0,0.0384286493062973
199,0,0.05788617581129074
200,0,0.10221213102340698
201,0,0.04111461341381073
202,0,0.05693073943257332
203,0,0.03958357125520706
204,0,0.041649337857961655
205,0,0.03565860539674759
206,0,0.05743849277496338
207,0,0.09004319459199905
208,0,0.0435381680727005
209,0,0.13625289499759674
210,0,0.03288429230451584
211,0,0.04168575257062912
212,0,0.15303684771060944
213,0,0.01628878526389599
214,0,0.046735264360904694
215,0,0.0670296847820282
216,0,0.0518261194229126
217,0,0.07476192712783813
218,0,0.06216631829738617
219,0,0.0629274994134903
220,0,0.07546532899141312
221,0,0.040990740060806274
222,0,0.013702040538191795
223,0,0.02732914872467518
224,0,0.08027128875255585
225,0,0.04883860424160957
226,0,0.03648737445473671
227,0,0.04612938314676285
228,0,0.05376315861940384
229,0,0.051532767713069916
230,0,0.07904694974422455
231,0,0.0757608413696289
232,0,0.05296074599027634
233,0,0.040880925953388214
234,0,0.04565062373876572
235,0,0.07916532456874847
236,0,0.09726040065288544
237,0,0.012525741010904312
238,0,0.037517692893743515
239,0,0.053660787642002106
240,0,0.04869742691516876
241,0,0.01666758954524994
242,0,0.023691341280937195
243,0,0.02008039504289627
244,0,0.05709536373615265
245,0,0.07853372395038605
246,0,0.05234543979167938
247,0,0.033816974610090256
248,0,0.16328120231628418
249,0,0.014421547763049603
250,0,-0.016446223482489586
251,0,0.09522882103919983
252,0,0.06936663389205933
253,0,0.07362960278987885
254,0,0.11800401657819748
255,0,0.07108858972787857
256,0,0.38479793071746826
257,0,0.026796406134963036
258,0,0.054408177733421326
259,0,0.09134118258953094
260,0,0.027317587286233902
261,0,0.07207177579402924
262,0,0.09120684862136841
263,0,0.10825055092573166
264,0,0.05598672479391098
265,0,0.09133485704660416
266,0,0.13920997083187103
267,0,0.03388303145766258
268,0,0.050803303718566895
269,0,0.09957172721624374
270,0,0.058665961027145386
271,0,0.05954661965370178
272,0,0.07946532964706421
273,0,0.04230745881795883
274,0,0.14399105310440063
275,0,0.010245869867503643
276,0,0.036085862666368484
277,0,0.00839327834546566
278,0,0.05629975348711014
279,0,0.01936318352818489
280,0,0.09733015298843384
281,0,0.033230092376470566
282,0,0.045205630362033844
283,0,0.12115016579627991
284,0,0.10195797681808472
285,0,0.036967791616916656
286,0,0.05127357691526413
287,0,0.02074541337788105
288,0,0.14437417685985565
289,0,0.06286782026290894
290,0,0.01361032947897911
291,0,0.039966948330402374
292,0,0.038520392030477524
293,0,0.05005364120006561
294,0,0.07032309472560883
295,0,0.06101787090301514
296,0,0.034341707825660706
297,0,0.0646841824054718
298,0,0.03999953716993332
299,0,0.07091414928436279
300,0,0.015003851614892483
301,0,0.07242749631404877
302,0,0.059317268431186676
303,0,0.023745261132717133
304,0,0.07256375253200531
305,0,0.07143287360668182
306,0,0.07011458277702332
307,0,0.037715911865234375
308,0,0.026032913476228714
309,0,0.041900571435689926
310,0,0.04093886539340019
311,0,0.02662605419754982
312,0,0.030054105445742607
313,0,0.05796003341674805
314,0,0.09968896210193634
315,0,0.04191972315311432
316,0,0.05930154025554657
317,0,0.05982989817857742
318,0,0.06268508732318878
319,0,0.030089374631643295
320,0,0.031244780868291855
321,0,0.1115989089012146
322,0,0.033411502838134766
323,0,0.05234295129776001
324,0,0.060464952141046524
325,0,0.05898762121796608
326,0,0.07472827285528183
327,0,0.054540764540433884
328,0,0.030611390247941017
329,0,0.056989334523677826
330,0,0.17575649917125702
331,0,0.02725747413933277
332,0,0.019970478489995003
333,0,0.07464625686407089
334,0,0.018422015011310577
335,0,0.01174430176615715
336,0,0.06583009660243988
337,0,0.07023684680461884
338,0,0.02797859162092209
339,0,0.03841542452573776
340,0,0.029976068064570427
341,0,0.07462402433156967
342,0,0.029271822422742844
343,0,0.028727702796459198
344,0,0.04046199098229408
345,0,0.09914471209049225
346,0,0.1327025592327118
347,0,0.02696436457335949
348,0,0.04021814092993736
349,0,0.09932737052440643
350,0,0.11774300038814545
351,0,0.041378628462553024
352,0,0.09697496891021729
353,0,0.07198157906532288
354,0,0.030060673132538795
355,0,0.03150486946105957
356,0,0.03272855281829834
357,0,0.056869808584451675
358,0,0.03757837414741516
359,0,0.05450449883937836
360,0,-0.010655662044882774
361,0,0.03256182000041008
362,0,0.11543063819408417
363,0,0.09773857146501541
364,0,0.10991277545690536
365,0,0.08686327189207077
366,0,0.087403304874897
367,0,0.14768052101135254
368,0,0.023583123460412025
369,0,0.08714184910058975
370,0,0.036717385053634644
371,0,0.0741533637046814
372,0,0.050189174711704254
373,0,0.06826446950435638
374,0,0.09728587418794632
375,0,0.028033511713147163
376,0,0.021977294236421585
377,0,0.05721826106309891
378,0,0.08466797322034836
379,0,0.06981180608272552
380,0,0.07180789858102798
381,0,0.0721765011548996
382,0,0.10046346485614777
383,0,0.11636945605278015
384,0,0.08857306838035583
385,0,0.028078144416213036
386,0,0.03164030238986015
387,0,0.05159267783164978
388,0,0.017343658953905106
389,0,0.051703307777643204
390,0,0.06538361310958862
391,0,0.028101082891225815
392,0,0.04137628152966499
393,0,0.11551479250192642
394,0,0.03264947608113289
395,0,0.036832503974437714
396,0,0.03228270262479782
397,0,0.034210897982120514
398,0,0.12825679779052734
399,0,0.07062692940235138
400,0,0.6689794063568115
401,0,0.14958907663822174
402,0,0.06321779638528824
403,0,0.028404012322425842
404,0,0.045067429542541504
405,0,0.07167995721101761
406,0,0.056762877851724625
407,0,0.08500824123620987
408,0,0.8107165694236755
409,0,0.05189692601561546
410,0,0.030938997864723206
411,0,0.008646281436085701
412,0,0.0049612256698310375
413,0,0.054641567170619965
414,0,0.03692302852869034
415,0,0.05571719631552696
416,0,-0.0006974460557103157
417,0,0.06741201132535934
418,0,0.02960788831114769
419,0,0.05103287100791931
420,0,0.031680628657341
421,0,0.052831076085567474
422,0,0.04374431073665619
423,0,0.05412553995847702
424,0,0.04676227271556854
425,0,0.05840228870511055
426,0,0.10744179040193558
427,0,0.03379422426223755
428,0,0.037440333515405655
429,0,0.03403105214238167
430,0,0.09054012596607208
431,0,0.1366557478904724
432,0,0.008638091385364532
433,0,0.07276199012994766
434,0,0.059690482914447784
435,0,0.05634738877415657
436,0,0.09038397669792175
437,0,0.026872897520661354
438,0,0.055040471255779266
439,0,0.05642436817288399
440,0,0.073762908577919
441,0,0.05659988522529602
442,0,0.035065580159425735
443,0,0.20057034492492676
444,0,0.03905397653579712
445,0,0.0533566027879715
446,0,0.051267124712467194
447,0,0.108333058655262
448,0,0.19064807891845703
449,0,0.04764179885387421
450,0,0.030449695885181427
451,0,0.11434587091207504
452,0,0.08598887175321579
453,0,0.0514862984418869
454,0,0.06535889953374863
455,0,0.07958140224218369
456,0,0.0246600192040205
457,0,0.060872867703437805
458,0,0.03609643876552582
459,0,0.13149133324623108
460,0,0.0218091681599617
461,0,0.05090966820716858
462,0,0.055096037685871124
463,0,0.13549111783504486
464,0,0.08672341704368591
465,0,0.08003836870193481
466,0,0.03612089902162552
467,0,0.058321237564086914
468,0,0.09120091050863266
469,0,0.046247921884059906
470,0,0.10569494217634201
471,0,0.0645277127623558
472,0,0.045570533722639084
473,0,0.12394890934228897
474,0,0.04745982959866524
475,0,0.05628886818885803
476,0,0.14482054114341736
477,0,0.09292682260274887
478,0,0.10517938435077667
479,0,0.05044823884963989
480,0,0.06153950095176697
481,0,0.12889954447746277
482,0,0.056619737297296524
483,0,0.16587500274181366
484,0,0.09875025600194931
485,0,0.09214580804109573
486,0,0.10740061104297638
487,0,0.0613497830927372
488,0,0.043103717267513275
